id,song_id,song_title,song_artist,spotify_link
798,98,Turn Me On,Norah Jones,[{'song_link': 'https://open.spotify.com/track/6FjAGZp7c0Z2uaL3eHkXsx'}]
799,99,Sunrise,Norah Jones,[{'song_link': 'https://open.spotify.com/track/7zkLpY72g6lKQbiHDqri1S'}]
800,100,Carry On,Norah Jones,[{'song_link': 'https://open.spotify.com/track/5hzDqrcTySa1Ek9nRCRd7Q'}]
801,1,Bitter Sweet Symphony,The Verve,[{'song_link': 'https://open.spotify.com/track/5yEPxDjbbzUzyauGtnmVEC'}]
802,2,The Drugs Don’t Work,The Verve,[{'song_link': 'https://open.spotify.com/track/1mGtS5RYUKmoOofscGAnlv'}]
803,3,Lucky Man,The Verve,[{'song_link': 'https://open.spotify.com/track/0bw1li9y32rw40HGodRShs'}]
804,4,Sonnet,The Verve,[{'song_link': 'https://open.spotify.com/track/6OgWHP8rRXiq7VMaryVaVo'}]
805,5,History,The Verve,[{'song_link': 'https://open.spotify.com/track/0Hgh5mKEewq93FwMbgupMs'}]
806,6,Only,Nicki Minaj,[{'song_link': 'https://open.spotify.com/track/4MRT0dDbhqFKl67WzhUbSw'}]
807,7,Feeling Myself,Nicki Minaj,[{'song_link': 'https://open.spotify.com/track/5fyIGoaaKelzdyW8ELhYJZ'}]
808,8,Super Bass,Nicki Minaj,[{'song_link': 'https://open.spotify.com/track/0iYebKFUSfF72fUu2OW6ZT'}]
809,9,Barbie Dreams,Nicki Minaj,[{'song_link': 'https://open.spotify.com/intl-es/track/6Poyf51k7W3NKnsGwAI90B'}]
810,10,Truffle Butter,Nicki Minaj,[{'song_link': 'https://open.spotify.com/track/3keUgTGEoZJt0QkzTB6kHg'}]
811,11,Svefn-g-englar,Sigur Rós,[{'song_link': 'https://open.spotify.com/album/7uN77nXZL5f745SBLjhkt6'}]
812,12,Hoppípolla,Sigur Rós,[{'song_link': 'https://open.spotify.com/track/0yQPpUq5BJyqah5m2Q5Stt'}]
813,13,Olsen Olsen,Sigur Rós,[{'song_link': 'https://open.spotify.com/track/3d4Le1etBUAAsbldCcaWeq'}]
